File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_006_Clear_sky_days_doy2009361_aid0001,Clear_sky_days,aid0001,2009-12-27,7307310.0,1.0,31.0,"(1.0,31.0)",20.3034,10.5465,111.2286,30.0,31.0,23.0,1.0,12.0
MYD11A2_006_Clear_sky_days_doy2010001_aid0001,Clear_sky_days,aid0001,2010-01-01,7144094.0,1.0,255.0,"(1.0,255.0)",139.5914,98.011,9606.1535,246.0,255.0,143.0,1.0,30.0
MYD11A2_006_Clear_sky_days_doy2010009_aid0001,Clear_sky_days,aid0001,2010-01-09,8639170.0,1.0,255.0,"(1.0,255.0)",163.2372,79.9952,6399.2399,239.0,255.0,190.0,1.0,94.0
MYD11A2_006_Clear_sky_days_doy2010017_aid0001,Clear_sky_days,aid0001,2010-01-17,8676864.0,1.0,255.0,"(1.0,255.0)",151.4059,90.8952,8261.9444,239.0,255.0,175.0,1.0,63.0
MYD11A2_006_Clear_sky_days_doy2010025_aid0001,Clear_sky_days,aid0001,2010-01-25,7943335.0,1.0,255.0,"(1.0,255.0)",146.9473,90.7556,8236.5841,243.0,255.0,161.0,1.0,54.0
MYD11A2_006_Clear_sky_days_doy2010033_aid0001,Clear_sky_days,aid0001,2010-02-02,8894513.0,1.0,255.0,"(1.0,255.0)",126.9797,75.6697,5725.9014,192.0,255.0,123.0,1.0,63.0
MYD11A2_006_Clear_sky_days_doy2010041_aid0001,Clear_sky_days,aid0001,2010-02-10,8585131.0,1.0,255.0,"(1.0,255.0)",156.6735,87.171,7598.7767,238.0,255.0,192.0,1.0,68.0
MYD11A2_006_Clear_sky_days_doy2010049_aid0001,Clear_sky_days,aid0001,2010-02-18,8338919.0,1.0,255.0,"(1.0,255.0)",118.6179,95.8604,9189.2194,227.0,255.0,117.0,1.0,23.0
MYD11A2_006_Clear_sky_days_doy2010057_aid0001,Clear_sky_days,aid0001,2010-02-26,8385716.0,1.0,255.0,"(1.0,255.0)",155.5015,79.0594,6250.3905,232.0,255.0,160.0,1.0,104.0
MYD11A2_006_Clear_sky_days_doy2010065_aid0001,Clear_sky_days,aid0001,2010-03-06,9141738.0,1.0,255.0,"(1.0,255.0)",129.3716,76.2492,5813.9381,191.0,255.0,127.0,1.0,59.0
MYD11A2_006_Clear_sky_days_doy2010073_aid0001,Clear_sky_days,aid0001,2010-03-14,9088677.0,1.0,255.0,"(1.0,255.0)",153.4451,86.5286,7487.1972,247.0,255.0,160.0,1.0,83.0
MYD11A2_006_Clear_sky_days_doy2010081_aid0001,Clear_sky_days,aid0001,2010-03-22,8760224.0,1.0,255.0,"(1.0,255.0)",124.8661,86.7523,7525.9625,211.0,255.0,127.0,1.0,31.0
MYD11A2_006_Clear_sky_days_doy2010089_aid0001,Clear_sky_days,aid0001,2010-03-30,8070035.0,1.0,255.0,"(1.0,255.0)",128.7877,72.9124,5316.2238,191.0,255.0,121.0,1.0,68.0
MYD11A2_006_Clear_sky_days_doy2010097_aid0001,Clear_sky_days,aid0001,2010-04-07,8769888.0,1.0,255.0,"(1.0,255.0)",145.4634,76.9372,5919.326,204.0,255.0,160.0,1.0,71.0
MYD11A2_006_Clear_sky_days_doy2010105_aid0001,Clear_sky_days,aid0001,2010-04-15,9013887.0,1.0,255.0,"(1.0,255.0)",160.3301,76.3893,5835.3254,234.0,255.0,176.0,1.0,106.0
MYD11A2_006_Clear_sky_days_doy2010113_aid0001,Clear_sky_days,aid0001,2010-04-23,9018820.0,1.0,255.0,"(1.0,255.0)",193.3673,64.388,4145.8088,239.0,255.0,216.0,62.0,168.0
MYD11A2_006_Clear_sky_days_doy2010121_aid0001,Clear_sky_days,aid0001,2010-05-01,9160774.0,1.0,255.0,"(1.0,255.0)",201.7247,67.9249,4613.7876,251.0,255.0,231.0,81.0,183.0
MYD11A2_006_Clear_sky_days_doy2010129_aid0001,Clear_sky_days,aid0001,2010-05-09,9149911.0,1.0,255.0,"(1.0,255.0)",101.8138,78.4679,6157.2079,159.0,255.0,63.0,1.0,31.0
MYD11A2_006_Clear_sky_days_doy2010137_aid0001,Clear_sky_days,aid0001,2010-05-17,8737071.0,1.0,255.0,"(1.0,255.0)",109.5275,68.1359,4642.4955,160.0,255.0,112.0,1.0,51.0
MYD11A2_006_Clear_sky_days_doy2010145_aid0001,Clear_sky_days,aid0001,2010-05-25,8811805.0,1.0,255.0,"(1.0,255.0)",157.5904,84.933,7213.6102,239.0,255.0,183.0,1.0,80.0
MYD11A2_006_Clear_sky_days_doy2010153_aid0001,Clear_sky_days,aid0001,2010-06-02,9178511.0,1.0,255.0,"(1.0,255.0)",142.7541,79.3725,6299.9998,222.0,255.0,133.0,1.0,71.0
MYD11A2_006_Clear_sky_days_doy2010161_aid0001,Clear_sky_days,aid0001,2010-06-10,9152339.0,1.0,255.0,"(1.0,255.0)",144.8506,83.9799,7052.6306,234.0,255.0,152.0,1.0,61.0
MYD11A2_006_Clear_sky_days_doy2010169_aid0001,Clear_sky_days,aid0001,2010-06-18,9077694.0,1.0,255.0,"(1.0,255.0)",157.3741,84.2901,7104.8175,243.0,255.0,175.0,1.0,86.0
MYD11A2_006_Clear_sky_days_doy2010177_aid0001,Clear_sky_days,aid0001,2010-06-26,9128315.0,1.0,255.0,"(1.0,255.0)",134.5556,76.123,5794.7128,195.0,255.0,143.0,1.0,74.0
